country,latitude,longitude,users%,user_delta%,swl%,swl,users,non_users,user_delta,population
Namibia,-22,17,0.156,0.124590164,0.792704789,216.67,392181,2121800,0.038,2513981
Nepal,28,84,0.172,0.147540984,0.670727692,183.33,4962323,23888394,0.045,28850717
Netherlands,52.5,5.75,0.937,0.019672131,0.914645301,250,15915076,1064653,0.006,16979729
New Zealand,-41,174,0.894,0.072131148,0.902462225,246.67,4078993,486192,0.022,4565185
Nicaragua,13,-85,0.194,0.13442623,0.768302052,210,1194337,4955698,0.041,6150035
Niger,16,8,0.021,0.219672131,0.54878718,150,439164,20276121,0.067,20715285
Nigeria,10,8,0.461,0.163934426,0.670727692,183.33,86219965,100767598,0.05,186987563
Norway,62,10,0.98,0.055737705,0.902462225,246.67,5167573,104385,0.017,5271958
Oman,21,57,0.711,0.13442623,0.890242564,243.33,3310260,1344211,0.041,4654471
Pakistan,30,70,0.178,0.318032787,0.524384444,143.33,34342400,158484102,0.097,192826502
Panama,9,-80,0.452,0.062295082,0.878059489,240,1803261,2187145,0.019,3990406
Papua New Guinea,-6,147,0.117,0.281967213,0.768302052,210,906695,6869420,0.086,7776115
Paraguay,-23,-58,0.468,0.127868852,0.792704789,216.67,3149519,3575911,0.039,6725430
Peru,-10,-76,0.41,0.062295082,0.682947353,186.67,13036965,18737260,0.019,31774225
Philippines,13,122,0.435,0.144262295,0.780485128,213.33,44478808,57771325,0.044,102250133
Poland,52,20,0.724,0.081967213,0.719533165,196.67,27922152,10671009,0.025,38593161
Portugal,39.5,-8,0.673,0.026229508,0.743899316,203.33,6930762,3373672,0.008,10304434
Qatar,25.5,51.25,0.92,0.091803279,0.853656752,233.33,2108970,182398,0.028,2291368
Romania,46,25,0.58,0.045901639,0.63414188,173.33,11236186,8136548,0.014,19372734
Russia,60,100,0.713,0.009836066,0.524384444,143.33,102258256,41181576,0.003,143439832
Rwanda,-2,30,0.124,0.239344262,0.536604105,146.67,1478216,10404550,0.073,11882766
Saint Kitts and Nevis,17.3333,-62.75,0.662,0.049180328,0.902462225,246.67,37210,18973,0.015,56183
Saint Lucia,13.8833,-61.1333,0.587,0.163934426,0.853656752,233.33,109370,77013,0.05,186383
Samoa,-13.5833,-172.3333,0.29,0.318032787,0.841473677,230,56373,138150,0.097,194523
Sao Tome and Principe,1,7,0.256,0.118032787,0.81707094,223.33,49686,144704,0.036,194390
Saudi Arabia,25,45,0.647,0.091803279,0.890242564,243.33,20813695,11344279,0.028,32157974
Senegal,14,-14,0.234,0.373770492,0.682947353,186.67,3647939,11941546,0.114,15589485
Seychelles,-4.5833,55.6667,0.579,0.085245902,0.902462225,246.67,56168,40858,0.026,97026
Sierra Leone,8.5,-11.5,0.024,0.216393443,0.609775729,166.67,160188,6431914,0.066,6592102
Singapore,1.3667,103.8,0.825,0.06557377,0.841473677,230,4699204,997302,0.02,5696506
Slovakia,48.6667,19.5,0.825,0.032786885,0.658544616,180,4477641,951777,0.01,5429418
Slovenia,46,15,0.72,0.013114754,0.804887864,220,1490358,579004,0.004,2069362
Solomon Islands,-8,159,0.098,0.150819672,0.841473677,230,58423,536511,0.046,594934
South Africa,-29,24,0.52,0.127868852,0.695130428,190,28580290,26398617,0.039,54978907
Spain,40,-4,0.822,0.072131148,0.853656752,233.33,37865104,8199500,0.022,46064604
Sri Lanka,7,81,0.293,0.137704918,0.743899316,203.33,6087164,14723652,0.042,20810816
Sudan,15,30,0.264,0.147540984,0.439029744,120,10886813,30288728,0.045,41175541
Suriname,4,-56,0.423,0.081967213,0.890242564,243.33,231420,316190,0.025,547610
Swaziland,-26.5,31.5,0.278,0.072131148,0.512201368,140,362921,941142,0.022,1304063
Sweden,62,15,0.931,0.032786885,0.939048037,256.67,9169705,682147,0.01,9851852
Switzerland,47,8,0.872,0.032786885,1,273.33,7302714,1076763,0.01,8379477
Syria,35,38,0.296,0.06557377,0.621958804,170,5502250,13061345,0.02,18563595
Tajikistan,39,71,0.187,0.140983607,0.743899316,203.33,1622924,7046540,0.043,8669464
Tanzania,-6,35,0.053,0.183606557,0.670727692,183.33,2895662,52259811,0.056,55155473
Thailand,15,100,0.427,0.203278689,0.792704789,216.67,29078158,39068451,0.062,68146609
Togo,8,1.1667,0.073,0.327868852,0.597556068,163.33,545020,6951813,0.1,7496833
Tonga,-20,-175,0.466,0.173770492,0.804887864,220,49822,57093,0.053,106915
Trinidad and Tobago,11,-61,0.691,0.11147541,0.841473677,230,942713,422260,0.034,1364973
Tunisia,34,9,0.481,0.078688525,0.780485128,213.33,5472618,5902602,0.024,11375220
Turkey,39,35,0.58,0.167213115,0.646361541,176.67,46196720,33425342,0.051,79622062
Turkmenistan,40,60,0.145,0.209836066,0.487798632,133.33,789151,4649519,0.064,5438670
U.K.,54,-2,0.926,0.029508197,0.865876413,236.67,60273385,4837758,0.009,65111143
U.S.,37.751,-97.822,0.885,0.036065574,0.902462225,246.67,286942362,37176425,0.011,324118787
Uganda,1,32,0.19,0.180327869,0.573189917,156.67,7645197,32677571,0.055,40322768
Ukraine,49,32,0.441,0.013114754,0.439029744,120,19678089,24946284,0.004,44624373
United Arab Emirates,24,54,0.919,0.055737705,0.902462225,246.67,8515420,751551,0.017,9266971
Uruguay,-33,-56,0.65,0.068852459,0.768302052,210,2238991,1205080,0.021,3444071
Uzbekistan,41,64,0.51,0.2,0.780485128,213.33,15453227,14847219,0.061,30300446
Vanuatu,-16,167,0.306,0.524590164,0.902462225,246.67,82764,187706,0.16,270470
Venezuela,8,-66,0.579,0.068852459,0.902462225,246.67,18254349,13264506,0.021,31518855
Viet Nam,16,106,0.52,0.108196721,0.743899316,203.33,49063762,45380438,0.033,94444200
Yemen,15,48,0.247,0.170491803,0.756118977,206.67,6773228,20704372,0.052,27477600
Zambia,-15,30,0.19,0.193442623,0.597556068,163.33,3167934,13549398,0.059,16717332
Zimbabwe,-20,30,0.21,0.13442623,0.402443932,110,3356223,12610587,0.041,15966810
